admin name,plate shortcut
Jelenia Góra,[DJ VJ]
Legnica,[DL VL]
Wałbrzych,[DB VB]
Wrocław,[DW DX VW VX]
Bolesławiecki,[DBL VBL]
Dzierżoniowski,[DDZ VDZ]
Głogowski,[DGL VGL]
Górowski,[DGR VGR]
Jaworski,[DJA VJA]
Karkonoski,[DJE VJE]
Kamiennogórski,[DKA VKA]
Kłodzki,[DKL VKL]
Legnicki,[DLE VLE]
Lubański,[DLB VLB]
Lubiński,[DLU VLU]
Lwówecki,[DLW VLW]
Milicki,[DMI VMI]
Oleśnicki,[DOL VOL]
Oławski,[DOA VOA]
Polkowicki,[DPL VPL]
Strzeliński,[DST VST]
Średzki,[DSR VSR]
Świdnicki,[DSW VSW]
Trzebnicki,[DTR VTR]
Wałbrzyski,[DBA VBA]
Wołowski,[DWL VWL]
Wrocławski,[DW VW]
Ząbkowicki,[DZA VZA]
Zgorzelecki,[DZG VZG]
Złotoryjski,[DZL VZL]
Bydgoszcz,[CB]
Grudziądz,[CG]
Toruń,[CT]
Włocławek,[CW]
Aleksandrowski,[CAL]
Brodnicki,[CBR]
Bydgoski,[CBY]
Chełmiński,[CCH]
Golubsko-dobrzyński,[CGD]
Grudziądzki,[CGR]
Inowrocławski,[CIN]
Lipnowski,[CLI]
Mogileński,[CMG]
Nakielski,[CNA]
Radziejowski,[CRA]
Rypiński,[CRY]
Sępoleński,[CSE]
Świecki,[CSW]
Toruński,[CTR]
Tucholski,[CTU]
Wąbrzeski,[CWA]
Włocławski,[CWL]
Żniński,[CZN]
Biała Podlaska,[LB]
Chełm,[LC]
Lublin,[LU]
Zamość,[LZ]
Bialski,[LBI]
Biłgorajski,[LBL]
Chełmski,[LCH]
Hrubieszowski,[LHR]
Janowski,[LJA]
Krasnostawski,[LKS]
Kraśnicki,[LKR]
Lubartowski,[LLB]
Lubelski,[LUB]
Łęczyński,[LLE]
Łukowski,[LLU]
Opolski,[LOP]
Parczewski,[LPA]
Puławski,[LPU]
Radzyński,[LRA]
Rycki,[LRY]
Świdnicki,[LSW]
Tomaszowski,[LTM]
Włodawski,[LWL]
Zamojski,[LZA]
Gorzów Wielkopolski,[FG]
Zielona Góra,[FZ]
Gorzowski,[FGW]
Krośnieński,[FKR]
Międzyrzecki,[FMI]
Nowosolski,[FNW]
Słubicki,[FSL]
Strzelecko-drezdenecki,[FSD]
Sulęciński,[FSU]
Świebodziński,[FSW]
Wschowski,[FWS]
Zielonogórski,[FZI]
Żagański,[FZG]
Żarski,[FZA]
Łódź,[EL ED]
Piotrków Trybunalski,[EP]
