city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Warsaw,52.2300,21.0111,Poland,PL,Mazowieckie,primary,1860281,1860281
Kraków,50.0614,19.9372,Poland,PL,Małopolskie,admin,804237,804237
Wrocław,51.1100,17.0325,Poland,PL,Dolnośląskie,admin,672929,672929
Łódź,51.7769,19.4547,Poland,PL,Łódzkie,admin,670642,670642
Poznań,52.4083,16.9336,Poland,PL,Wielkopolskie,admin,546859,546859
Gdańsk,54.3475,18.6453,Poland,PL,Pomorskie,admin,486022,486022
Szczecin,53.4325,14.5481,Poland,PL,Zachodniopomorskie,admin,396168,396168
Bydgoszcz,53.1219,18.0003,Poland,PL,Kujawsko-Pomorskie,admin,337666,337666
Lublin,51.2500,22.5667,Poland,PL,Lubelskie,admin,334681,334681
Białystok,53.1353,23.1456,Poland,PL,Podlaskie,admin,294242,294242
Katowice,50.2625,19.0217,Poland,PL,Śląskie,admin,285711,285711
Gdynia,54.5175,18.5400,Poland,PL,Pomorskie,minor,245222,245222
Zielona Góra,51.9333,15.5000,Poland,PL,Lubuskie,admin,216781,140002
Częstochowa,50.8000,19.1167,Poland,PL,Śląskie,minor,213107,213107
Radom,51.4036,21.1567,Poland,PL,Mazowieckie,minor,201601,201601
Toruń,53.0222,18.6111,Poland,PL,Kujawsko-Pomorskie,admin,198273,198273
Rzeszów,50.0333,22.0000,Poland,PL,Podkarpackie,admin,195871,195871
Sosnowiec,50.2833,19.1333,Poland,PL,Śląskie,minor,193660,193660
Kielce,50.8742,20.6333,Poland,PL,Świętokrzyskie,admin,186894,186894
Gliwice,50.2833,18.6667,Poland,PL,Śląskie,minor,174016,174016
Olsztyn,53.7778,20.4792,Poland,PL,Warmińsko-Mazurskie,admin,170225,170225
Bielsko-Biała,49.8225,19.0444,Poland,PL,Śląskie,minor,169089,169089
Zabrze,50.3025,18.7781,Poland,PL,Śląskie,minor,158307,158307
Bytom,50.3483,18.9156,Poland,PL,Śląskie,minor,153274,153274
Ruda Śląska,50.2628,18.8536,Poland,PL,Śląskie,minor,133793,133793
Rybnik,50.0833,18.5500,Poland,PL,Śląskie,minor,133772,133772
Opole,50.6667,17.9333,Poland,PL,Opolskie,admin,127387,127387
Tychy,50.1236,18.9867,Poland,PL,Śląskie,minor,124882,124882
Gorzów Wielkopolski,52.7333,15.2500,Poland,PL,Lubuskie,admin,119964,119964
Dąbrowa Górnicza,50.3214,19.1872,Poland,PL,Śląskie,minor,116930,116930
Elbląg,54.1667,19.4000,Poland,PL,Warmińsko-Mazurskie,minor,115220,115220
Płock,52.5500,19.7000,Poland,PL,Mazowieckie,minor,114594,114594
Tarnów,50.0125,20.9886,Poland,PL,Małopolskie,minor,106259,106259
Koszalin,54.2000,16.1833,Poland,PL,Zachodniopomorskie,minor,105883,105883
