state,district/counties,postal_code
Lower Silesia,Powiat boleslawiecki,56-730
Lower Silesia,Powiat boleslawiecki,59-700
Lower Silesia,Powiat boleslawiecki,59-701
Lower Silesia,Powiat boleslawiecki,59-702
Lower Silesia,Powiat boleslawiecki,59-703
Lower Silesia,Powiat boleslawiecki,59-706
Lower Silesia,Powiat boleslawiecki,59-707
Lower Silesia,Powiat boleslawiecki,59-720
Lower Silesia,Powiat boleslawiecki,59-724
Lower Silesia,Powiat boleslawiecki,59-726
Lower Silesia,Powiat boleslawiecki,59-730
Lower Silesia,Powiat boleslawiecki,79-730
Lower Silesia,Powiat dzierzoniowski,52-500
Lower Silesia,Powiat dzierzoniowski,58-116
Lower Silesia,Powiat dzierzoniowski,58-200
Lower Silesia,Powiat dzierzoniowski,58-204
Lower Silesia,Powiat dzierzoniowski,58-207
Lower Silesia,Powiat dzierzoniowski,58-209
Lower Silesia,Powiat dzierzoniowski,58-210
Lower Silesia,Powiat dzierzoniowski,58-211
Lower Silesia,Powiat dzierzoniowski,58-212
Lower Silesia,Powiat dzierzoniowski,58-214
Lower Silesia,Powiat dzierzoniowski,58-217
Lower Silesia,Powiat dzierzoniowski,58-230
Lower Silesia,Powiat dzierzoniowski,58-231
Lower Silesia,Powiat dzierzoniowski,58-240
Lower Silesia,Powiat dzierzoniowski,58-241
Lower Silesia,Powiat dzierzoniowski,58-250
Lower Silesia,Powiat dzierzoniowski,58-260
Lower Silesia,Powiat dzierzoniowski,58-262
Lower Silesia,Powiat dzierzoniowski,58-500
Lower Silesia,Glogów County,67-200
Lower Silesia,Glogów County,67-210
Lower Silesia,Glogów County,67-221
Lower Silesia,Glogów County,67-222
Lower Silesia,Glogów County,67-231
Lower Silesia,Glogów County,67-232
Lower Silesia,Glogów County,67-240
Lower Silesia,Góra County,56-200
Lower Silesia,Góra County,56-209
Lower Silesia,Góra County,56-210
Lower Silesia,Góra County,56-215
Lower Silesia,Jawor County,59-400
Lower Silesia,Jawor County,59-407
Lower Silesia,Jawor County,59-411
Lower Silesia,Jawor County,59-420
Lower Silesia,Jawor County,59-421
Lower Silesia,Jawor County,59-424
Lower Silesia,Jawor County,59-430
Lower Silesia,Jelenia Góra County,58-500
Lower Silesia,Jelenia Góra County,58-508
Lower Silesia,Jelenia Góra County,58-512
Lower Silesia,Jelenia Góra County,58-520
Lower Silesia,Jelenia Góra County,58-521
Lower Silesia,Jelenia Góra County,58-530
Lower Silesia,Jelenia Góra County,58-531
Lower Silesia,Jelenia Góra County,58-532
Lower Silesia,Jelenia Góra County,58-533
Lower Silesia,Jelenia Góra County,58-535
Lower Silesia,Jelenia Góra County,58-540
Lower Silesia,Jelenia Góra County,58-560
Lower Silesia,Jelenia Góra County,58-562
Lower Silesia,Jelenia Góra County,58-564
Lower Silesia,Jelenia Góra County,58-573
Lower Silesia,Jelenia Góra County,58-580
Lower Silesia,Kamienna Góra County,58-400
Lower Silesia,Kamienna Góra County,58-405
Lower Silesia,Kamienna Góra County,58-407
Lower Silesia,Kamienna Góra County,58-410
Lower Silesia,Kamienna Góra County,58-420
Lower Silesia,Kamienna Góra County,58-422
Lower Silesia,Klodzko County,57-000
Lower Silesia,Klodzko County,57-300
Lower Silesia,Klodzko County,57-312
Lower Silesia,Klodzko County,57-313
Lower Silesia,Klodzko County,57-314
Lower Silesia,Klodzko County,57-315
Lower Silesia,Klodzko County,57-320
Lower Silesia,Klodzko County,57-330
Lower Silesia,Klodzko County,57-340
Lower Silesia,Klodzko County,57-343
Lower Silesia,Klodzko County,57-350
Lower Silesia,Klodzko County,57-360
Lower Silesia,Klodzko County,57-361
Lower Silesia,Klodzko County,57-362
Lower Silesia,Klodzko County,57-400
Lower Silesia,Klodzko County,57-401
Lower Silesia,Klodzko County,57-402
Lower Silesia,Klodzko County,57-408
Lower Silesia,Klodzko County,57-409
Lower Silesia,Klodzko County,57-410
Lower Silesia,Klodzko County,57-411
Lower Silesia,Klodzko County,57-420
Lower Silesia,Klodzko County,57-431
Lower Silesia,Klodzko County,57-441
Lower Silesia,Klodzko County,57-442
Lower Silesia,Klodzko County,57-450
Lower Silesia,Klodzko County,57-500
Lower Silesia,Klodzko County,57-501
Lower Silesia,Klodzko County,57-520
Lower Silesia,Klodzko County,57-521
Lower Silesia,Klodzko County,57-522
Lower Silesia,Klodzko County,57-530
Lower Silesia,Klodzko County,57-540
Lower Silesia,Klodzko County,57-541
Lower Silesia,Klodzko County,57-550
Lower Silesia,Powiat legnicki,29-225
